Food,Measure,Grams,Calories,Protein,Fat,Sat.Fat,Fiber,Carbs,Category
Cows' milk,1 qt.,976.00,660.00,32.00,40.00,36.00,0.00,48.00,Dairy products
Milk skim,1 qt.,984.00,360.00,36.00,t,t,0.00,52.00,Dairy products
Buttermilk,1 cup,246.00,127.00,9.00,5.00,4.00,0.00,13.00,Dairy products
"Evaporated, undiluted",1 cup,252.00,345.00,16.00,20.00,18.00,0.00,24.00,Dairy products
Fortified milk,6 cups,1419.00,1373.00,89.00,42.00,23.00,1.40,119.00,Dairy products
Powdered milk,1 cup,103.00,515.00,27.00,28.00,24.00,0.00,39.00,Dairy products
"skim, instant",1 1/3 cups,85.00,290.00,30.00,t,t,0.00,42.00,Dairy products
"skim, non-instant",2/3 cup,85.00,290.00,30.00,t,t,1.00,42.00,Dairy products
Goats' milk,1 cup,244.00,165.00,8.00,10.00,8.00,0.00,11.00,Dairy products
(1/2 cup ice cream),2 cups,540.00,690.00,24.00,24.00,22.00,0.00,70.00,Dairy products
Cocoa,1 cup,252.00,235.00,8.00,11.00,10.00,0.00,26.00,Dairy products
skim. milk,1 cup,250.00,128.00,18.00,4.00,3.00,1.00,13.00,Dairy products
(cornstarch),1 cup,248.00,275.00,9.00,10.00,9.00,0.00,40.00,Dairy products
Custard,1 cup,248.00,285.00,13.00,14.00,11.00,0.00,28.00,Dairy products
Ice cream,1 cup,188.00,300.00,6.00,18.00,16.00,0.00,29.00,Dairy products
Ice milk,1 cup,190.00,275.00,9.00,10.00,9.00,0.00,32.00,Dairy products
Cream or half-and-half,1/2 cup,120.00,170.00,4.00,15.00,13.00,0.00,5.00,Dairy products
or whipping,1/2 cup,119.00,430.00,2.00,44.00,27.00,1.00,3.00,Dairy products
Cheese,1 cup,225.00,240.00,30.00,11.00,10.00,0.00,6.00,Dairy products
uncreamed,1 cup,225.00,195.00,38.00,t,t,0.00,6.00,Dairy products
Cheddar,1-in. cube,17.00,70.00,4.00,6.00,5.00,0.00,t,Dairy products
"Cheddar, grated cup",1/2 cup,56.00,226.00,14.00,19.00,17.00,0.00,1.00,Dairy products
Cream cheese,1 oz.,28.00,105.00,2.00,11.00,10.00,0.00,1.00,Dairy products
Processed cheese,1 oz.,28.00,105.00,7.00,9.00,8.00,0.00,t,Dairy products
Roquefort type,1 oz.,28.00,105.00,6.00,9.00,8.00,0.00,t,Dairy products
Swiss,1 oz.,28.00,105.00,7.00,8.00,7.00,0.00,t,Dairy products
Eggs raw,2.00,100.00,150.00,12.00,12.00,10.00,0.00,t,Dairy products
Eggs Scrambled or fried,2.00,128.00,220.00,13.00,16.00,14.00,0.00,1.00,Dairy products
Yolks,2.00,34.00,120.00,6.00,10.00,8.00,0.00,t,"Fats, Oils, Shortenings"
Butter,1T.,14.00,100.00,t,11.00,10.00,0.00,t,"Fats, Oils, Shortenings"
Butter,1/2 cup,112.00,113.00,114.00,115.00,116.00,117.00,118.00,"Fats, Oils, Shortenings"
Butter,1/4 lb.,112.00,113.00,114.00,115.00,116.00,117.00,118.00,"Fats, Oils, Shortenings"
Hydrogenated cooking fat,1/2 cup,100.00,665.00,0.00,100.00,88.00,0.00,0.00,"Fats, Oils, Shortenings"
Lard,1/2 cup,110.00,992.00,0.00,110.00,92.00,0.00,0.00,"Fats, Oils, Shortenings"
Margarine,1/2 cup,112.00,806.00,t,91.00,76.00,0.00,t,"Fats, Oils, Shortenings"
"Margarine, 2 pat or",1 T.,14.00,100.00,t,11.00,9.00,0.00,t,"Fats, Oils, Shortenings"
Mayonnaise,1 T.,15.00,110.00,t,12.00,5.00,0.00,t,"Fats, Oils, Shortenings"
Corn oil,1 T.,14.00,125.00,0.00,14.00,5.00,0.00,0.00,"Fats, Oils, Shortenings"
Olive oil,1T.,14.00,125.00,0.00,14.00,3.00,0.00,0.00,"Fats, Oils, Shortenings"
Safflower seed oil,1 T.,14.00,125.00,0.00,14.00,3.00,0.00,0.00,"Fats, Oils, Shortenings"
French dressing,1 T.,15.00,60.00,t,6.00,2.00,0.00,2.00,"Fats, Oils, Shortenings"
Thousand Island sauce,1 T.,15.00,75.00,t,8.00,3.00,0.00,1.00,"Fats, Oils, Shortenings"
Salt pork,2 oz.,60.00,470.00,3.00,55.00,,0.00,0.00,"Meat, Poultry"
Bacon,2 slices,16.00,95.00,4.00,8.00,7.00,0.00,1.00,"Meat, Poultry"
Beef,3 oz.,85.00,245.00,23.00,16.00,15.00,0.00,0.00,"Meat, Poultry"
Hamburger,3 oz.,85.00,245.00,21.00,17.00,15.00,0.00,0.00,"Meat, Poultry"
Ground lean,3 oz.,85.00,185.00,24.00,10.00,9.00,0.00,0.00,"Meat, Poultry"
Roast beef,3 oz.,85.00,390.00,16.00,36.00,35.00,0.00,0.00,"Meat, Poultry"
Steak,3 oz.,85.00,330.00,20.00,27.00,25.00,0.00,0.00,"Meat, Poultry"
"Steak, lean, as round",3 oz.,85.00,220.00,24.00,12.00,11.00,0.00,0.00,"Meat, Poultry"
Corned beef,3 oz.,85.00,185.00,22.00,10.00,9.00,0.00,0.00,"Meat, Poultry"
Corned beef hash canned,3 oz.,85.00,120.00,12.00,8.00,7.00,t,6.00,"Meat, Poultry"
Corned beef hash Dried,2 oz.,56.00,115.00,19.00,4.00,4.00,0.00,0.00,"Meat, Poultry"
Pot-pie,1 pie,227.00,480.00,18.00,28.00,25.00,t,32.00,"Meat, Poultry"
Corned beef hash Stew,1 cup,235.00,185.00,15.00,10.00,9.00,t,15.00,"Meat, Poultry"
chicken,3 oz.,85.00,185.00,23.00,9.00,7.00,0.00,0.00,"Meat, Poultry"
"Fried, breast or leg and thigh chicken",3 oz.,85.00,245.00,25.00,15.00,11.00,0.00,0.00,"Meat, Poultry"
Roasted chicken,3 1/2 oz.,100.00,290.00,25.00,20.00,16.00,0.00,0.00,"Meat, Poultry"
"Chicken livers, fried",3 med.,100.00,140.00,22.00,14.00,12.00,0.00,2.30,"Meat, Poultry"
"Duck, domestic",3 1/2 oz.,100.00,370.00,16.00,28.00,0.00,0.00,0.00,"Meat, Poultry"
"Lamb, chop, broiled",4 oz.,115.00,480.00,24.00,35.00,33.00,0.00,0.00,"Meat, Poultry"
Leg roasted,3 oz.,86.00,314.00,20.00,14.00,14.00,0.00,0.00,"Meat, Poultry"
"Shoulder, braised",3 oz.,85.00,285.00,18.00,23.00,21.00,0.00,0.00,"Meat, Poultry"
